Planilha Ofícios Enviados;;;;;;;
;;;;;;;
Nº do Ofício;Destinatário;Solicitação;Status;Previsão;;;
127;Sec. Fazenda;24h p responder informações relativas dos 30 maiores fornecedores do município;;;;;
128;Sec. Infraestrutura;quanto município gastou com iluminação pública OBS: esperando p terminar o ofício.;;;;;
129;FAEC;liberação tenda;vai ser atendido;;;;
130;Sec. Trânsito;interdição Rua João Adão da Cunha;vai ser atendido;;;;
131;Sec. Meio Ambiente;Supressão árvore Av. Dr. Oswaldo Pierucetti Bairro Sibipiruna;não averiguou necessidade p supressão;;;;
132;Sec. Meio Ambiente;Supressão árvore Rua Santa Rita  Bairro Sibipiruna;Autorizado p supressão;;;;
133;SAE;vazamento de água Rua Oito Bairro Canaã;Executado;;;;
134;Sec. Serviços Urbanos;limpeza Praça Ilídio Miguel Duarte Bairro Independência;Vão programar;;;;
135;Sec. Infraestrutura;Substituição de lâmpada em frente o Abrigo Cristo Rei;Executado;;;;
136;Sec. Trânsito;interdição Rua Antônio Lopes da Silva;cancelado;;;;
137;Gráfica Araguari;Confecção Diploma de Moção de Aplausos;;;;;
138;Sec. Trânsito;revitalização da sinalização de trânsito nas ruas Catalão e Cesário Alvim Bairro Centro;;;;;
139;Sec.Saúde;dedetização contêiners embaixo Praça Getúlio Vargas;;;;;
140;Sec.Trânsito;Pintura estratigráfica UBS Central;;;;;
141;Juiz Federal;Justiça Federal Unidade Aragurai;;;;;
142;SAE;disponibilização de copos de água para ação da identidade;;;;;
143;Batalhão Ferroviário;Doação de Sangue;;;;;
144;Batalhão Ferroviário;Dia do Soldado;;;;;
145;Pica-Pau;Cessão do salão de festas do Clube Pica-Pau.;;;;;
146;Câmara Municipal de Araguari;disponibilização do carro oficial da Câmara;;;;;
147;Famep;Ônibus p buscar alunos Escola Municipal Papa João XXIII;;;;;
148;Sec. Trânsito;sinalização porta Mutirão;;;;;
149;2º Batalhão Ferroviário;Doação de Sangue;;;;;
150;2º Companhia de Bombeiros Militar;Doação de Sangue;;;;;
151;53º Batalhão da Polícia Militar;Doação de Sangue;;;;;
152;Polícia Civil;Doação de Sangue;;;;;
153;Sec. Serviços Urbanos;Notificação p murar e limpeza terreno;;;;;
154;Faec;liberação ônibus;;;;;
155;Sec. Trânsito;interdição Rua Carolina Marques;;;;;
156;UAI Tibery;inviabilidade do ônibus p Terminal Central;;;;;
157;Câmara Municipal de Araguari;Indicação da Professora Homenageada.;;;;;
158;Faec;liberação palco e som;;;;;
159;Faec;liberação ônibus p Uberlândia;;;;;
160;Arroz Vasconcelos;empréstimo carreta da alegria;;;;;
161;Arroz Vasconcelos;empréstimo carreta da alegria;;;;;
162;Sec. Trânsito;interdição Rua Niquelândia;;;;;
163;Faec;liberação Van p Uberlândia;;;;;
164;Faec;liberação tenda Centro Chico Xavier;;;;;
165;Faec;liberação tenda Presídio;;;;;
166;Sec. Trânsito;Interdição Rua Isolina Soares B: Vieno;;;;;
167;Sec. Administração;Disposição do cargo Ivone;;;;;
168;SAE;Disponibilização de copos de água para evento quadra da Chancia;;;;;
169;Famep;liberação ônibus p internos Casa do Caminho;;;;;
170;Faec;liberação ônibus p internos Casa do Caminho;;;;;
171;Sec. Infraestrutura;Convite Audiência Pública;;;;;
172;Procuradoria;Convite Audiência Pública;;;;;
173;Sec. Fazenda;Convite Audiência Pública;;;;;
174;Sec. Planejamento;Convite Audiência Pública;;;;;
175;Geral;Convite Audiência Pública;;;;;
176;Promotoria de Justiça;Convite Audiência Pública;;;;;
177;Delegacia de Polícia Civil;Convite Audiência Pública;;;;;
178;Ivan Imobiliária;Convite Audiência Pública;;;;;
179;Base Imobilária;Convite Audiência Pública;;;;;
180;Local Imobiliária;Convite Audiência Pública;;;;;
181;Santa Júlia Imobiliária;Convite Audiência Pública;;;;;
182;Prado Imobiliária;Convite Audiência Pública;;;;;
183;Pilar Imobiliária;Convite Audiência Pública;;;;;
184;Imartins Imobiliária;Convite Audiência Pública;;;;;
185;Cida Imoliária;Convite Audiência Pública;;;;;
186;Plurimo Imobiliária;Convite Audiência Pública;;;;;
187;Método Imobiliária;Convite Audiência Pública;;;;;
188;Remax Imobiliária;Convite Audiência Pública;;;;;
189;Plug Imobiliária;Convite Audiência Pública;;;;;
190;Sistema Imobiliária;Convite Audiência Pública;;;;;
191;Cibele Imobiliária;Convite Audiência Pública;;;;;
192;Innovare Imobiliária;Convite Audiência Pública;;;;;
193;Vereadora Ana Lúcia;Convite Audiência Pública;;;;;
194;Vereadora Débora Dau;Convite Audiência Pública;;;;;
195;Vereadora Maria Cecília;Convite Audiência Pública;;;;;
196;Vereador Alex;Convite Audiência Pública;;;;;
197;Vereador Willian;Convite Audiência Pública;;;;;
198;Vereador Giulliano;Convite Audiência Pública;;;;;
199;Vereador Waltemir Branquinho;Convite Audiência Pública;;;;;
200;Vereador Cascão;Convite Audiência Pública;;;;;
201;Vereador Claúdio Coelho;Convite Audiência Pública;;;;;
202;Vereador Guilherme;Convite Audiência Pública;;;;;
203;Vereador Levi;Convite Audiência Pública;;;;;
204;Vereador Sebastião Nego;Convite Audiência Pública;;;;;
205;Vereador Paulo Vale;Convite Audiência Pública;;;;;
206;Vereador Paulo PH;Convite Audiência Pública;;;;;
207;Vereador Rodrigo Piracaíba;Convite Audiência Pública;;;;;
208;Rodrigo Sargento Oliveira;Convite Audiência Pública;;;;;
209;Secretaria de Fazenda;Convite Audiência Pública;;;;;
210;Secretaria de Planejamento  ;Convite Audiência Pública;;;;;
211;Promotoria de Justiça;Convite Audiência Pública;;;;;
212;Delegacia de Polícia Civil Dr.Rodrigo;Convite Audiência Pública;;;;;
213;Secretaria de Infraestrutura;Convite Audiência Pública;;;;;
214;Procuradoria Geral;Convite Audiência Pública;;;;;
215;Secretaria de Meio Ambiente;Convite Audiência Pública;;;;;
216;Promotoria de Justiça;Convite Audiência Pública;;;;;
217;Tenente;Convite Audiência Pública;;;;;
218;Presidente OAB;Convite Audiência Pública;;;;;
219;Vereadora Ana Lúcia;Convite Audiência Pública;;;;;
220;Vereadora Débora Dau;Convite Audiência Pública;;;;;
221;Vereadora Maria Cecília;Convite Audiência Pública;;;;;
222;Vereador Alex;Convite Audiência Pública;;;;;
223;Vereador Wilian;Convite Audiência Pública;;;;;
224;Vereador Giulliano;Convite Audiência Pública;;;;;
225;Vereador Waltemir Branquinho;Convite Audiência Pública;;;;;
226;Vereador Cascão;Convite Audiência Pública;;;;;
227;Vereador Claúdio Coelho;Convite Audiência Pública;;;;;
228;Vereador Guilherme;Convite Audiência Pública;;;;;
229;Vereador Levi;Convite Audiência Pública;;;;;
230;Vereador Sebastião Nego;Convite Audiência Pública;;;;;
231;Vereador Paulo Vale;Convite Audiência Pública;;;;;
232;Vereador Paulo PH;Convite Audiência Pública;;;;;
233;Vereador Rodrigo Piracaíba;Convite Audiência Pública;;;;;
234;Vereador Rodrigo Sargento Oliveira;Convite Audiência Pública;;;;;
235;Tenente;Convite Audiência Pública;;;;;
236;Comandante;Convite Audiência Pública;;;;;
237;SAE;Convite Audiência Pública;;;;;
238;Deputado José Vitor;Convite Audiência Pública;;;;;
239;FAEC;Convite Audiência Pública;;;;;
240;SAE;Liberação copos de água igreja;;;;;
241;FAEC;Liberação ônibus Casa do Caminho;;;;;
242;Câmara Municipal de Araguari;Retirada da Emenda Impositiva nº5;;;;;
243;FAEC;Liberação tenda;;;;;
244;FAEC;Liberação som presídio;;;;;
245;Sec. Infraestrutura;tapa buraco em todas as ruas do bairro;está sendo executado;;;;
246;Sec. Serviços Urbanos;poda de Árvore;executado;;;;
247;Sec. Trânsito;revitalização da sinalização de trânsito;;;;;
248;Sec. Saúde;vistoria Ferro Velho;vistoria feita no local;;;;
249;Sec. Serviços Urbanos;limpeza praça Latifa;;;;;
250;Famep;Disponibilização da quadra Latifa;;;;;
251;Sec. Trânsito;Pintura estratigráfica Orsi hotel   (ainda não levou);executado;;;;
252;Sec. Serviços Urbanos;Limpeza Rua Alameda Um Bairro Paineiras;Atendido;;;;
253;SAE;vazamento de água Rua Dr Ciro Parlmeston com Avenida Miguel Assad Debs;executado;;;;
254;Sec. Infraestrutura;tapa buraco Rua Brejo Alegre;executado;;;;
255;Sec. Infraestrutura;Rua Doutor Hugo Aguiar;executado;;;;
256;CEMIG;poste com avaria Rua Doutor Hugo de Aguiar com Alameda Goiás;;;;;
257;Sec. Infraestrutura;instalação de poste Rua Geraldo Gomide Borges Sibipiruna;estudo de viabilidade de responsabilidade da CEMIG;;;;
258;FAMEP;utilização praça do CEU;;;;;
259;Educação;utilização praça do CEU;;;;;
260;PM;levantamento índice de ocorrência de violência doméstica (via whatsapp);;;;;
261;SAE;copo de água Igreja Vila Nova;entregue;;;;
262;FAEC;utilização anfiteatro da praça do CEU;;;;;
263;6º promotoria;TAC;;;;;
264;2º promotoria;TAC;;;;;
265;Sec. Serviços Urbanos;Limpeza Praça Carlos José de Moura, Bairro Sibipiruna;executado;;;;
266;Sec. Serviços Urbanos;limpeza área verde Rua Walter Sopranzetti;executado;;;;
267;SAE;vazamento de água R Carlos Ramiro;executado;;;;
268;SAE;vazamento de água Av dos Andradas porta Sagrada Família;executado;;;;
269;Sec. Infraestrutura;tapa buraco, recomposição de paralelepipedo Avenida Dr Oswaldo Pierucetti;no momento resultaria em desperdício de erário;;;;
270;Sec. Serviços Urbanos;Notificação terreno esquina Condomínio Sibipiruna;;;;;
271;Sec. Saúde;vistoria técnica R das Mangueiras;;;;;
272;Sec. Seviços Urbanos;notificação terreno R Luiz Humberto Mendes e R Geraldo Gomide Sibipiruna;;;;;
273;SAE;vazamento de água R Monte Carmelo R Pires do Rio B Joquei Clube;executado;;;;
274;SAE;reparo tampa de esgoto R Sérgio Rodrigues Gimenez B Sibipiruna;foi realizado a troca da tampa;;;;
275;Sec. Saúde;fumacê R 02 Ouro Verde;;;;;
275;Sec. Serviços Urbanos;paralelepípedo Av Dr Oswaldo Pierucetti Sibipiruna;;;;;
276;SAE;vazamento de água R do Jordão B Santiago;não foi constatado nenhum vazamento;;;;
277;Sec. Serviços Urbanos;notificação terreno R Coromandel B Santiago;;;;;
278;SAE;vazamento de água Dr Afrânio na porta Bar Apolo;executado;;;;
279;SAE;vazamento de água Rua Dr Silvio França com Professor Walter Fernandes;executado;;;;
280;FAEC;autorização biblioteca Praça CEU;Autorizado;;;;
281;Sec. Trânsito;sinalização bairro Sibipiruna;;;;;
282;4º Promotoria;suspensão de autuação;Atendido;;;;
283;3º Promotoria;suspensão de autuação;atendido;;;;
284;Ronaldo Tannús;viatura p Polícia Penal;;;;;
285;Ronaldo Tannús;Destinar 100.000,00 p Escola São Judas;;;;;
286;Ronaldo Tannús;Destinar 100.000,00 p Isolina;;;;;
287;Sec. Serviços Urbanos;manutenção e limpeza Rodoviária;executado;;;;
288;FAEC;limpeza Arena Multiuso;;;;;
289;SAE;vazamento de água Rua Antônio Alves de Ávila Sibipiruna;executado;;;;
290;Sec Infraestrutura;boca de lobo Alan Kardec;;;;;
291;Sec Planejamento;Retirada da emenda impositiva LAFS;;;;;
292;Câmara Municipal de Araguari;Retirada da contribuição do Partido Mobiliza;;;;;
